brand,model,price,category,condition,storage,color,stock,imageUrl
Samsung,Galaxy S23 Ultra,13200,Phones,Good,256GB,Phantom Black,3,
Samsung,Galaxy S23,9800,Phones,Good,128GB,Cream,4,
Samsung,Galaxy A54,4800,Phones,New,128GB,Awesome Lime,6,
Samsung,Galaxy Z Flip 5,11500,Phones,Like new,256GB,Graphite,1,
Samsung,Galaxy Tab S9,10900,Tablets,New,128GB,Graphite,2,
Apple,iPad 10th Gen,8200,Tablets,Good,64GB,Silver,3,
Samsung,Galaxy Buds2 Pro,1800,Audio,New,,Bora Purple,10,
Apple,AirPods Pro (2nd gen),2400,Audio,New,,White,10,
Anker,PowerCore 20000mAh,650,Accessories,New,,Black,15,
Samsung,25W Fast Charger,350,Accessories,New,,White,20,
Generic,iPhone 15 Silicone Case,180,Accessories,New,,Various,25,
Generic,Samsung S23 Screen Protector,120,Accessories,New,,Clear,30,
