brand,model,price,condition,storage,color,stock,imageUrl
Apple,iPhone 13,8400,Good,128GB,Midnight,3,
Apple,iPhone 14 Pro,14200,Like new,256GB,Space Black,2,
Apple,iPhone SE (2022),4200,Fair,64GB,Starlight,5,
Samsung,Galaxy S22 Ultra,9100,Good,256GB,Phantom Black,2,
Samsung,Galaxy A54,4800,New,128GB,Awesome Lime,6,
Samsung,Galaxy Z Flip 5,11500,Like new,256GB,Graphite,1,
Google,Pixel 7,5600,Good,128GB,Obsidian,3,
Xiaomi,Redmi Note 12,2900,New,128GB,Ice Blue,8,
OnePlus,11 5G,7300,Good,256GB,Titan Black,2,
Apple,AirPods Pro (2nd gen),2400,New,,White,10,
